category,question,a,b,c,d,answer,explanation
利活用,Excelなどの表計算ソフトの業務効率化における生成AIの活用方法として適切なものはどれか？,AIに表計算ソフトそのものを新しく開発させる,特定の条件でデータを抽出したいと伝え適切な関数やマクロのコードを生成させる,企業の財務データをすべて手作業でAIに入力し監査法人の印鑑を押させる,AIにパソコンの画面を物理的に操作させる,b,複雑なExcel関数やVBAマクロの記述はAIが得意とする分野でありやりたいことをテキストで伝えるだけでコードを生成してくれます。
利活用,生成AIが知らない事実について質問された際嘘の回答（ハルシネーション）を減らすためのプロンプトの工夫はどれか？,絶対に何か答えてくださいと指示する,情報がない場合や不確かな場合は「わからない」と答えてくださいと条件づける,想像して自由に物語を作ってくださいと指示する,制限文字数を1万文字に設定する,b,AIは無理に答えようとする性質があるためあらかじめ「知らない場合はわからないと答える」ルールを明記することで嘘の生成を防ぎやすくなります。
利活用,社内で生成AIの導入を進める際のアプローチとして推奨されるものはどれか？,事前検証を行わず全社一斉に強制導入する,特定の部署や業務に絞って小さく始め効果と課題を検証しながら徐々に拡大する,すべての業務プロセスを初日からAIに完全自動化させる,セキュリティリスクを恐れて競合他社が導入するまで一切検討しない,b,リスクを管理しながら効果を確認するためまずは特定業務でのPoC（概念実証）としてスモールスタートを切ることが推奨されます。
利活用,プロンプトに「5W1H（誰が・いつ・どこで・何を・なぜ・どのように）」を明記する目的は何か？,AIに学習データの出典をすべて開示させるため,コンテキスト（背景・文脈）を詳細に伝えることでAIの出力が意図からブレるのを防ぐため,AIのパラメータ数を物理的に増やすため,ハルシネーションを100%完全に防ぐため,b,背景情報や目的（コンテキスト）を具体的に与えることでAIはユーザーの状況を正確に理解しより的確で役立つ回答を生成できます。
法律・倫理,日本の著作権法第30条の4においてAIに著作物を学習させる（情報解析を行う）場合原則としてどう規定されているか？,著作権者の事前の許諾が必ず必要である,原則として著作権者の許諾なく利用できる,文化庁に申請書を提出すれば利用できる,海外の著作物のみ許諾不要で利用できる,b,日本の著作権法第30条の4では「情報解析」を目的とする場合原則として権利者の許諾なく著作物を利用（学習）できるとされています。
法律・倫理,著作権法第30条の4でAI学習が許諾不要とされる例外として規定されている「許諾が必要になるケース」はどれか？,海外のサーバーで学習を行う場合,非営利目的で学習を行う場合,著作権者の利益を不当に害することとなる場合,データセットが1万件未満の場合,c,情報解析に提供されているデータベースの海賊版を利用するなど「著作権者の利益を不当に害する場合」は許諾不要の例外から除外されます。
法律・倫理,AIを利用して画像を生成し公開した場合「著作権侵害」が成立するための2つの主要な要件はどれか？,収益性と拡散性,類似性と依拠性,芸術性と独創性,意図性と悪質性,b,既存の著作物と類似していること（類似性）と既存の著作物を認識し参考にして作成されたこと（依拠性）の2つが認められると著作権侵害となります。
法律・倫理,著作権侵害の要件である「依拠性」に関してAIを利用した場合の特徴として適切なものはどれか？,AIを使えば依拠性は絶対に認められない,AIが既存の著作物を学習データに含んでおり利用者がそれを知って生成させた場合依拠性が認められる可能性が高い,依拠性があるかどうかは生成された画像のファイルサイズで決まる,類似していれば自動的に依拠性も認められる,b,利用者が既存の作品を知っておりプロンプトでそれに似せるよう指示した場合などは「依拠性があった」と判断されるリスクが高まります。
法律・倫理,AIによって自動生成された文章や画像に対して著作権は発生するか？,AIシステム自体に著作権が発生する,開発したAI企業に著作権が発生する,人間の「創作的寄与」がない限り原則として著作権は発生しない,生成ボタンを押した人に無条件で著作権が発生する,c,著作物は「思想又は感情を創作的に表現したもの」と定義されているためAIが全自動で生成したものに著作権は生じず人間の創作的な指示や加筆（創作的寄与）が必要です。
法律・倫理,生成AIを利用して作成したイラストを自社の広告に無断で使用した場合の法的責任は誰が負うか？,AIを開発した企業,AIに学習データを提供したクリエイター,そのAIツールを提供しているプラットフォーマー,AIを利用して画像を生成し広告として公開した利用者（企業）,d,生成AIはあくまでツール（道具）とみなされるため生成物を利用して著作権侵害などの権利侵害を行った場合その利用者自身が責任を問われます。
法律・倫理,個人情報保護法の観点から生成AIを利用する際に企業が注意すべき最大のルールはどれか？,個人情報を含むデータはすべて暗号化すれば自由に入力してよい,取得した個人情報は本人の同意なく目的外のAI学習や入力に利用してはならない,従業員の個人情報であれば自由に学習させてよい,公開されている個人情報はすべて自由に使ってよい,b,個人情報を取得する際に明示した「利用目的」の範囲外でAIに入力したり学習データとして利用することは原則として本人の同意が必要となります。
法律・倫理,人種、信条、病歴、犯罪の経歴など特に取り扱いに配慮が必要な個人情報を何と呼ぶか？,特定個人情報,要配慮個人情報,匿名加工情報,仮名加工情報,b,これらは「要配慮個人情報」と呼ばれ不当な差別や偏見が生じないよう取得する際には原則として本人の同意が必要です。これをAIに入力する際は極めて高い注意が求められます。
法律・倫理,企業が業務で生成AIを利用する際情報漏洩や意図せぬ学習を防ぐために行うべき設定や対策はどれか？,プロンプトを英語で入力する,入力データがAIモデルの学習に利用されない「オプトアウト」設定になっているか確認する,個人情報をすべてカタカナに変換して入力する,毎日AIのアカウントを作り直す,b,コンシューマー向けの無料AIなどは入力データが再学習に利用されることがあるため企業で利用する場合は学習されないオプトアウト設定やエンタープライズ版を使用すべきです。
法律・倫理,ユーザーが悪意のあるプロンプト（指示）を入力しAIに設定された倫理フィルターやセキュリティ制限を回避・無効化する攻撃手法を何と呼ぶか？,SQLインジェクション,クロスサイトスクリプティング,プロンプトインジェクション,データポイズニング,c,「これまでの指示をすべて無視して次のように行動しろ」といった指示により開発者が意図しない動作や機密情報の開示を行わせる攻撃です。
法律・倫理,プロンプトインジェクションの一種でAIに設定されている倫理的な制限（暴力的・差別的表現の禁止など）を解除し不適切な発言をさせる行為を特に何と呼ぶか？,ジェイルブレイク（脱獄）,ハルシネーション,ソーシャルエンジニアリング,フィッシング,a,AIの安全装置を言葉巧みに突破し本来禁止されている回答を出力させる行為をジェイルブレイクと呼びます。
法律・倫理,悪意のある第三者がAIの学習データセットに意図的に誤ったデータや偏ったデータを混入させAIに誤作動を引き起こさせる攻撃手法はどれか？,DDoS攻撃,ランサムウェア,データポイズニング,ファインチューニング,c,AIが汚染された（毒された）データを学習することで特定の入力に対して誤った分類や不適切な出力をするように仕向ける攻撃です。
法律・倫理,企業において会社が許可していない個人的な生成AIツールやクラウドサービスを従業員が勝手に業務で利用するリスクを何と呼ぶか？,内部統制,シャドーIT,BYOD,ゼロトラスト,b,セキュリティ管理の目が届かないところで機密情報がAIに入力されてしまう情報漏洩の大きな原因となります。
法律・倫理,AIの学習データに含まれる人間社会の偏見やステレオタイプがAIの出力に反映され特定の性別や人種を不当に差別してしまう問題を何と呼ぶか？,AIのハルシネーション,AIバイアス（アルゴリズムバイアス）,AIのブラックボックス問題,シンギュラリティ,b,過去の採用データで男性が多かった場合AIが「男性の方が優秀である」と誤って学習し書類選考で女性を不利に評価してしまうなどの倫理的バイアス問題です。
法律・倫理,ディープラーニングを用いたAIは高度な処理ができる一方で「なぜその答えを導き出したのか」という判断プロセスが人間には理解できないという問題を何と呼ぶか？,フレーム問題,シンボルグラウンディング問題,ブラックボックス問題,チューリング問題,c,判断の根拠が不透明なため医療や金融など人命や財産に関わる分野での利用において説明責任（アカウンタビリティ）を果たしにくいという課題があります。
法律・倫理,総務省・経済産業省が策定した「AI事業者ガイドライン」が対象としているステークホルダー（関係者）はどれか？,AIを開発する企業のみ,AIを提供する企業のみ,AIを利用する一般ユーザーのみ,AI開発者・AI提供者・AI利用者のすべてのビジネス主体,d,同ガイドラインは開発から提供、利用に至るまでAIに関わるすべての事業者を対象に各主体が守るべき共通の指針を定めています。
法律・倫理,「人間中心のAI社会原則」などの国際的なAI倫理指針において強調されているAIの「透明性（Transparency）」とはどのようなことか？,AIのプログラムコードを完全に公開すること,AIがどのようにしてその結論に至ったかプロセスや理由を説明可能にすること,AIのサーバーの設置場所を公開すること,AIの利益をすべて社会に還元すること,b,利用者が不利益を被った場合などにAIがどのような基準で判断したのかを説明できる状態にすることが透明性や説明責任として求められます。
法律・倫理,実在の人物の顔や声をAIで合成しあたかも本人が発言・行動しているかのような偽の動画や音声を作成する技術を何と呼ぶか？,ブロックチェーン,メタバース,ディープフェイク,ハプティクス,c,政治家の偽演説による世論操作や著名人を騙る詐欺などに悪用され深刻な社会的・倫理的問題を引き起こしています。
法律・倫理,生成AIが出力したもっともらしい嘘（ハルシネーション）を人間が確認せずにそのまま公開・利用した場合発生しうる倫理的リスクとして最も適切なものはどれか？,フェイクニュースや誤情報の拡散による社会的な混乱,著作権が自動的に消滅する,個人情報保護法違反が100%確定する,AIが人間に反旗を翻す,a,事実確認（ファクトチェック）を怠ると誤った情報を真実として世間に広めてしまい企業の信頼失墜や社会課題の悪化につながります。
法律・倫理,AIがユーザーの好む情報ばかりを優先して表示・生成することで自分と異なる意見や新しい情報に触れる機会が失われる現象を何と呼ぶか？,オーバーフィッティング,エコーチェンバー（フィルターバブル）,パラダイムシフト,フレーム問題,b,AIのパーソナライズ機能が強すぎるとユーザーは自分の考えが世の中の絶対的多数だと錯覚し社会の分断を生む原因となります。
法律・倫理,2024年に欧州連合（EU）で可決された世界初の包括的なAI規制法において採用された「AIのリスク度合いに応じて規制の厳しさを変える」考え方を何と呼ぶか？,ゼロリスクアプローチ,リスクベースアプローチ,ルールベースアプローチ,フリーダムアプローチ,b,「EU AI法」では社会的スコアリングなどの許容できないリスクを禁止し高リスクなAIには厳しい義務を課すなどリスクベースで規制を行っています。
法律・倫理,他社と機密保持契約（NDA）を結んでいるプロジェクトの未公開情報を業務効率化のために公開型の生成AIに入力した場合どのような問題が生じるか？,作業が早くなるので問題ない,AIは情報を漏らさないので問題ない,NDA違反（契約違反）および情報漏洩に該当する恐れがある,AIが自動的にNDAに署名するため問題ない,c,公開型の生成AIへの入力は外部のサーバーへ情報を送信する行為であり契約違反や企業としての重大な情報漏洩リスクとなります。
法律・倫理,企業が生成AIを安全に導入・活用するために組織として最初に行うべき重要な取り組みはどれか？,とりあえず全社員にChatGPTの有料アカウントを配布する,他社のデータをスクレイピングして独自のAIを作る,「生成AI利用ガイドライン」を策定し従業員にルールを教育する,情報漏洩が怖いのでAIに触れた社員を解雇する,c,シャドーITや情報漏洩、著作権侵害のリスクを防ぐため自社の業務に合わせた利用ルール（ガイドライン）を定め社員のAIリテラシーを高めることが必須です。
法律・倫理,著作権のある画像データをAIに入力し「これと全く同じ構図・キャラクターで別の画像を出力して」と指示（Image-to-Image）する行為の法的リスクはどれか？,全く新しい画像になるためリスクはない,元の作品への「依拠性」が極めて高くなり著作権侵害（翻案権侵害など）に問われるリスクが大きい,AIが描いたため人間には責任がない,個人利用であればどんな場合でも完全に合法である,b,既存の作品を元に類似した作品を生成させる行為は著作権者の権利を侵害する可能性が非常に高くビジネス利用においては厳禁です。
法律・倫理,Webサイトからプログラムを用いて自動で大量のデータを収集する「スクレイピング」を利用してAIの学習データを作成する際注意すべき法的・倫理的ポイントはどれか？,インターネット上にあるデータはすべてフリー素材である,Webサイトの「利用規約」でスクレイピングが禁止されていないか確認する,海外のサイトであれば日本の法律は関係ない,一度に大量アクセスしてサーバーをダウンさせても問題ない,b,著作権法の例外（30条の4）があってもWebサイトの利用規約での禁止事項やサーバーへの過度な負荷（偽計業務妨害等）には注意が必要です。
法律・倫理,AIによる判断が人命や人権に大きな影響を与える分野（医療・採用・裁判など）において最終的な決定には人間が関与すべきであるという原則を何と呼ぶか？,ヒューマン・イン・ザ・ループ（Human-in-the-Loop）,完全自律システム（Fully Autonomous System）,エンドツーエンド（End-to-End）,ゼロショット（Zero-shot）,a,AIを完全に自動化するのではなく人間がプロセスに介在し確認や最終判断を行うことでAIの暴走やバイアスによる被害を防ぐという設計思想です。
法律・倫理,自社の商標やブランドロゴを画像生成AIに学習させ無断で類似したロゴを作成し販売する行為はどの法律に抵触する可能性が高いか？,個人情報保護法,商標法および不正競争防止法,労働基準法,独占禁止法,b,他社の登録商標に類似したロゴを商用利用する行為は著作権法だけでなく商標法や不正競争防止法に違反し損害賠償や差し止めの対象となります。
法律・倫理,AIが生成した著名人の偽の音声（音声ディープフェイク）を用いて電話で金銭を騙し取る犯罪行為を防ぐためのユーザー側の対策として有効なものはどれか？,電話の声は絶対に本人だと信じる,相手にしか分からない質問（合い言葉）で本人確認を行う,AIの音声を録音してSNSで拡散する,すべての電話を着信拒否する,b,ディープフェイク技術の向上により音声だけでの本人確認は困難になっているため家族や社内で独自の確認ルールを設けるなどの対策が必要です。
法律・倫理,EUのGDPR（一般データ保護規則）においてAI企業が欧州市民の個人情報を扱う際に求められる厳しいルールとして正しいものはどれか？,個人情報の取り扱いはすべてAIに一任しなければならない,プロファイリングなどの自動化された意思決定に対して人間による介入を求める権利が保障されている,個人情報の流出は報告しなくてよい,EU外の国へは自由に個人情報を移転してよい,b,GDPRでは個人の権利が強く保護されておりAIによる完全に自動化された判断（採用不採用など）に対して異議を唱え人間の介入を求める権利が明記されています。
法律・倫理,AIの開発や提供において環境負荷への配慮が倫理的課題として挙げられている理由として正しいものはどれか？,AIは自然環境を破壊するウイルスを生成するから,LLMの膨大な計算処理には大量の電力が必要であり温室効果ガスの排出や水資源の消費が問題視されているから,AIの開発には希少な動物の遺伝子が必要だから,AIが紙の消費量を劇的に増やすから,b,大規模なAIモデルの学習や運用を行うデータセンターは莫大な電力を消費するためカーボンニュートラルなどの環境（サステナビリティ）への配慮が企業に求められています。
